image_file,field,Gemini_value,Azure DI_value,Gemini_normalised,Azure DI_normalised,status,similarity,Azure DI_field_confidence,chosen_value,reason
batch1-0331.jpg,seller_name,Ochoa-Scott,Ochoa-Scott,ochoa scott,ochoa scott,match,1.0,0.972,Ochoa-Scott,both readers agree
batch1-0331.jpg,seller_tax_id,921-82-1053,,921821053,,one_missing,0.0,,921-82-1053,only Gemini found a value (uncorroborated)
batch1-0331.jpg,client_name,Green LLC,Green LLC,green,green,match,1.0,0.942,Green LLC,both readers agree
batch1-0331.jpg,client_tax_id,965-99-1263,965-99-1263,965991263,965991263,match,1.0,0.416,965-99-1263,both readers agree
batch1-0331.jpg,invoice_number,94138597,94138597,94138597,94138597,match,1.0,0.972,94138597,both readers agree
batch1-0331.jpg,invoice_date,02/05/2018,02/05/2018,2018-02-05,2018-02-05,match,1.0,0.971,02/05/2018,both readers agree
batch1-0331.jpg,net_worth,"1 612,50","$ 1 612,50",1612.50,1612.50,match,1.0,0.746,"1 612,50",both readers agree
batch1-0331.jpg,vat,"161,25","$ 161,25",161.25,161.25,match,1.0,0.802,"161,25",both readers agree
batch1-0331.jpg,gross_worth,"1 773,75","$ 1 773,75",1773.75,1773.75,match,1.0,0.929,"1 773,75",both readers agree
batch1-0332.jpg,seller_name,Chavez Ltd,Chavez Ltd,chavez,chavez,match,1.0,0.947,Chavez Ltd,both readers agree
batch1-0332.jpg,seller_tax_id,904-77-6503,,904776503,,one_missing,0.0,,904-77-6503,only Gemini found a value (uncorroborated)
batch1-0332.jpg,client_name,Roberts Ltd,Roberts Ltd,roberts,roberts,match,1.0,0.943,Roberts Ltd,both readers agree
batch1-0332.jpg,client_tax_id,956-94-0439,956-94-0439,956940439,956940439,match,1.0,0.505,956-94-0439,both readers agree
batch1-0332.jpg,invoice_number,13507183,13507183,13507183,13507183,match,1.0,0.973,13507183,both readers agree
batch1-0332.jpg,invoice_date,09/09/2015,09/09/2015,2015-09-09,2015-09-09,match,1.0,0.972,09/09/2015,both readers agree
batch1-0332.jpg,net_worth,"1 026,72","$ 1 026,72",1026.72,1026.72,match,1.0,0.915,"1 026,72",both readers agree
batch1-0332.jpg,vat,"102,67","$ 102,67",102.67,102.67,match,1.0,0.927,"102,67",both readers agree
batch1-0332.jpg,gross_worth,"1 129,39","$ 1 129,39",1129.39,1129.39,match,1.0,0.93,"1 129,39",both readers agree
batch1-0333.jpg,seller_name,"Solomon, Ford and Ellis","Solomon, Ford and Ellis",solomon ford and ellis,solomon ford and ellis,match,1.0,0.926,"Solomon, Ford and Ellis",both readers agree
batch1-0333.jpg,seller_tax_id,954-73-2478,,954732478,,one_missing,0.0,,954-73-2478,only Gemini found a value (uncorroborated)
batch1-0333.jpg,client_name,Hamilton-Jackson,Hamilton-Jackson,hamilton jackson,hamilton jackson,match,1.0,0.97,Hamilton-Jackson,both readers agree
batch1-0333.jpg,client_tax_id,988-96-5706,988-96-5706,988965706,988965706,match,1.0,0.463,988-96-5706,both readers agree
batch1-0333.jpg,invoice_number,74819543,74819543,74819543,74819543,match,1.0,0.975,74819543,both readers agree
batch1-0333.jpg,invoice_date,10/07/2020,10/07/2020,2020-10-07,2020-10-07,match,1.0,0.973,10/07/2020,both readers agree
batch1-0333.jpg,net_worth,"125,00","$ 125,00",125.00,125.00,match,1.0,0.819,"125,00",both readers agree
batch1-0333.jpg,vat,"12,50","$ 12,50",12.50,12.50,match,1.0,0.917,"12,50",both readers agree
batch1-0333.jpg,gross_worth,"137,50","$ 137,50",137.50,137.50,match,1.0,0.938,"137,50",both readers agree
batch1-0334.jpg,seller_name,Duncan Ltd,Duncan Ltd,duncan,duncan,match,1.0,0.946,Duncan Ltd,both readers agree
batch1-0334.jpg,seller_tax_id,964-84-8594,964-84-8594,964848594,964848594,match,1.0,0.507,964-84-8594,both readers agree
batch1-0334.jpg,client_name,Edwards-Archer,Edwards-Archer,edwards archer,edwards archer,match,1.0,0.941,Edwards-Archer,both readers agree
batch1-0334.jpg,client_tax_id,909-91-4017,909-91-4017,909914017,909914017,match,1.0,0.585,909-91-4017,both readers agree
batch1-0334.jpg,invoice_number,65498230,65498230,65498230,65498230,match,1.0,0.975,65498230,both readers agree
batch1-0334.jpg,invoice_date,02/16/2021,02/16/2021,2021-02-16,2021-02-16,match,1.0,0.974,02/16/2021,both readers agree
batch1-0334.jpg,net_worth,"45,50","$ 45,50",45.50,45.50,match,1.0,0.922,"45,50",both readers agree
batch1-0334.jpg,vat,"4,55","$ 4,55",4.55,4.55,match,1.0,0.93,"4,55",both readers agree
batch1-0334.jpg,gross_worth,"50,05","$ 50,05",50.05,50.05,match,1.0,0.938,"50,05",both readers agree
batch1-0335.jpg,seller_name,Johnson-Brooks,Johnson-Brooks,johnson brooks,johnson brooks,match,1.0,0.947,Johnson-Brooks,both readers agree
batch1-0335.jpg,seller_tax_id,964-92-2746,,964922746,,one_missing,0.0,,964-92-2746,only Gemini found a value (uncorroborated)
batch1-0335.jpg,client_name,"Proctor, Morgan and Williams","Proctor, Morgan and Williams",proctor morgan and williams,proctor morgan and williams,match,1.0,0.911,"Proctor, Morgan and Williams",both readers agree
batch1-0335.jpg,client_tax_id,939-82-6262,939-82-6262,939826262,939826262,match,1.0,0.415,939-82-6262,both readers agree
batch1-0335.jpg,invoice_number,51467723,51467723,51467723,51467723,match,1.0,0.95,51467723,both readers agree
batch1-0335.jpg,invoice_date,04/21/2019,04/21/2019,2019-04-21,2019-04-21,match,1.0,0.943,04/21/2019,both readers agree
batch1-0335.jpg,net_worth,"96 817,20","$ 96 817,20",96817.20,96817.20,match,1.0,0.888,"96 817,20",both readers agree
batch1-0335.jpg,vat,"9 681,72","$ 9 681,72",9681.72,9681.72,match,1.0,0.909,"9 681,72",both readers agree
batch1-0335.jpg,gross_worth,"106 498,92","$ 106 498,92",106498.92,106498.92,match,1.0,0.899,"106 498,92",both readers agree
batch1-0336.jpg,seller_name,Decker PLC,Decker PLC,decker,decker,match,1.0,0.939,Decker PLC,both readers agree
batch1-0336.jpg,seller_tax_id,957-87-4031,957-87-4031,957874031,957874031,match,1.0,0.818,957-87-4031,both readers agree
batch1-0336.jpg,client_name,Boyle Ltd,Boyle Ltd,boyle,boyle,match,1.0,0.938,Boyle Ltd,both readers agree
batch1-0336.jpg,client_tax_id,993-86-3706,993-86-3706,993863706,993863706,match,1.0,0.818,993-86-3706,both readers agree
batch1-0336.jpg,invoice_number,97511742,97511742,97511742,97511742,match,1.0,0.966,97511742,both readers agree
batch1-0336.jpg,invoice_date,04/07/2016,04/07/2016,2016-04-07,2016-04-07,match,1.0,0.962,04/07/2016,both readers agree
batch1-0336.jpg,net_worth,"4 314,93","$ 4 314,93",4314.93,4314.93,match,1.0,0.925,"4 314,93",both readers agree
batch1-0336.jpg,vat,"431,49","$ 431,49",431.49,431.49,match,1.0,0.936,"431,49",both readers agree
batch1-0336.jpg,gross_worth,"4 746,42","$ 4 746,42",4746.42,4746.42,match,1.0,0.926,"4 746,42",both readers agree
batch1-0337.jpg,seller_name,"Snyder, Bryan and Booth","Snyder, Bryan and Booth",snyder bryan and booth,snyder bryan and booth,match,1.0,0.925,"Snyder, Bryan and Booth",both readers agree
batch1-0337.jpg,seller_tax_id,983-70-0913,,983700913,,one_missing,0.0,,983-70-0913,only Gemini found a value (uncorroborated)
batch1-0337.jpg,client_name,Ashley-Perry,Ashley-Perry,ashley perry,ashley perry,match,1.0,0.94,Ashley-Perry,both readers agree
batch1-0337.jpg,client_tax_id,981-88-6259,981-88-6259,981886259,981886259,match,1.0,0.415,981-88-6259,both readers agree
batch1-0337.jpg,invoice_number,94098997,94098997,94098997,94098997,match,1.0,0.964,94098997,both readers agree
batch1-0337.jpg,invoice_date,10/04/2020,10/04/2020,2020-10-04,2020-10-04,match,1.0,0.956,10/04/2020,both readers agree
batch1-0337.jpg,net_worth,"13 846,77","$ 13 846,77",13846.77,13846.77,match,1.0,0.89,"13 846,77",both readers agree
batch1-0337.jpg,vat,"1 384,68","$ 1 384,68",1384.68,1384.68,match,1.0,0.893,"1 384,68",both readers agree
batch1-0337.jpg,gross_worth,"15 231,45","$ 15 231,45",15231.45,15231.45,match,1.0,0.917,"15 231,45",both readers agree
batch1-0338.jpg,seller_name,Bailey PLC,Bailey PLC,bailey,bailey,match,1.0,0.94,Bailey PLC,both readers agree
batch1-0338.jpg,seller_tax_id,918-95-6591,,918956591,,one_missing,0.0,,918-95-6591,only Gemini found a value (uncorroborated)
batch1-0338.jpg,client_name,Turner Inc,Turner Inc,turner,turner,match,1.0,0.937,Turner Inc,both readers agree
batch1-0338.jpg,client_tax_id,998-92-7755,998-92-7755,998927755,998927755,match,1.0,0.35,998-92-7755,both readers agree
batch1-0338.jpg,invoice_number,11926242,11926242,11926242,11926242,match,1.0,0.969,11926242,both readers agree
batch1-0338.jpg,invoice_date,03/01/2012,03/01/2012,2012-03-01,2012-03-01,match,1.0,0.967,03/01/2012,both readers agree
batch1-0338.jpg,net_worth,"3 340,47","$ 3 340,47",3340.47,3340.47,match,1.0,0.89,"3 340,47",both readers agree
batch1-0338.jpg,vat,"334,05","$ 334,05",334.05,334.05,match,1.0,0.924,"334,05",both readers agree
batch1-0338.jpg,gross_worth,"3 674,52","$ 3 674,52",3674.52,3674.52,match,1.0,0.926,"3 674,52",both readers agree
batch1-0339.jpg,seller_name,Rodriguez-Barnett,Rodriguez-Barnett,rodriguez barnett,rodriguez barnett,match,1.0,0.76,Rodriguez-Barnett,both readers agree
batch1-0339.jpg,seller_tax_id,986-88-3758,986-88-3758,986883758,986883758,match,1.0,0.529,986-88-3758,both readers agree
batch1-0339.jpg,client_name,"Le, Lawson and Rios","Le, Lawson and Rios
USS King",le lawson and rios,le lawson and rios uss king,mismatch,0.8,0.786,"Le, Lawson and Rios","readers disagree, no arithmetic tie-break - flagged for human review"
batch1-0339.jpg,client_tax_id,967-80-5679,967-80-5679,967805679,967805679,match,1.0,0.594,967-80-5679,both readers agree
batch1-0339.jpg,invoice_number,48531206,48531206,48531206,48531206,match,1.0,0.95,48531206,both readers agree
