image_file,seller_name,seller_tax_id,client_name,client_tax_id,invoice_number,invoice_date,net_worth,vat,gross_worth,confidence,agreement_rate,arithmetic_status,disputed_fields,flags
batch1-0331.jpg,Ochoa-Scott,921-82-1053,Green LLC,965-99-1263,94138597,02/05/2018,"1 612,50","161,25","1 773,75",MEDIUM,0.889,pass,seller_tax_id,
batch1-0332.jpg,Chavez Ltd,904-77-6503,Roberts Ltd,956-94-0439,13507183,09/09/2015,"1 026,72","102,67","1 129,39",MEDIUM,0.889,pass,seller_tax_id,
batch1-0333.jpg,"Solomon, Ford and Ellis",954-73-2478,Hamilton-Jackson,988-96-5706,74819543,10/07/2020,"125,00","12,50","137,50",MEDIUM,0.889,pass,seller_tax_id,
batch1-0334.jpg,Duncan Ltd,964-84-8594,Edwards-Archer,909-91-4017,65498230,02/16/2021,"45,50","4,55","50,05",HIGH,1.0,pass,,
batch1-0335.jpg,Johnson-Brooks,964-92-2746,"Proctor, Morgan and Williams",939-82-6262,51467723,04/21/2019,"96 817,20","9 681,72","106 498,92",MEDIUM,0.889,pass,seller_tax_id,
batch1-0336.jpg,Decker PLC,957-87-4031,Boyle Ltd,993-86-3706,97511742,04/07/2016,"4 314,93","431,49","4 746,42",HIGH,1.0,pass,,
batch1-0337.jpg,"Snyder, Bryan and Booth",983-70-0913,Ashley-Perry,981-88-6259,94098997,10/04/2020,"13 846,77","1 384,68","15 231,45",MEDIUM,0.889,pass,seller_tax_id,
batch1-0338.jpg,Bailey PLC,918-95-6591,Turner Inc,998-92-7755,11926242,03/01/2012,"3 340,47","334,05","3 674,52",MEDIUM,0.889,pass,seller_tax_id,
batch1-0339.jpg,Rodriguez-Barnett,986-88-3758,"Le, Lawson and Rios",967-80-5679,48531206,08/03/2019,"5 587,91","558,79","6 146,70",MEDIUM,0.889,pass,client_name,
batch1-0340.jpg,Daniel-Morrison,995-99-6193,"Snyder, Benton and Reed",999-86-4010,82977013,12/06/2013,"244,99","24,50","269,49",MEDIUM,0.778,pass,seller_tax_id;client_tax_id,
batch1-0341.jpg,Collins Group,942-76-9532,Pope LLC,918-70-1520,86225018,12/18/2015,"5 409,72","540,97","5 950,69",HIGH,1.0,pass,,
batch1-0342.jpg,Love Inc,960-75-3286,Brown and Sons,992-88-6386,79064100,05/25/2018,"84,44","8,44","92,88",HIGH,1.0,pass,,
batch1-0343.jpg,Williams Group,930-72-1637,Frazier-Davis,952-75-5780,69057610,08/20/2013,"15 936,26","1 593,63","17 529,89",HIGH,1.0,pass,,
batch1-0344.jpg,Saunders-Lee,991-83-4896,Molina Inc,936-85-0485,85473134,04/24/2017,"808,87","80,89","889,76",HIGH,1.0,pass,,
